model,k,seed,loss,class_weight,acc,f1w,f1m,mi_overall,confusion_matrix,train_time,hp_hidden,hp_dropout,hp_lr,hp_batch_size,hp_epochs,hp_weight_decay,hp_source,hp_loss,hp_focal_gamma,hp_poly_epsilon,hp_label_smoothing,hp_class_weight,ang_recall,ang_precision,ang_f1,ang_support,hap_recall,hap_precision,hap_f1,hap_support,sad_recall,sad_precision,sad_f1,sad_support,neu_recall,neu_precision,neu_f1,neu_support,ang_mi,hap_mi,sad_mi,neu_mi
lstm,0,0,focal,none,0.3795918367346939,0.30191545009646376,0.2283525052417763,0.005213680338188417,"[[0, 44, 0, 126], [0, 194, 0, 234], [0, 76, 0, 169], [0, 111, 0, 271]]",1.1016504764556885,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.4532710280373832,0.45647058823529413,0.4548651817116061,428,0.0,0.0,0.0,245,0.7094240837696335,0.33875,0.45854483925549916,382,0.0030760430707495335,0.0028222003910492125,0.0027589660726994565,0.0025875918941291242
lstm,5,0,focal,none,0.396734693877551,0.31579313876088067,0.23879928315412186,0.0042099067473888524,"[[0, 21, 0, 149], [0, 185, 0, 243], [0, 60, 0, 185], [0, 81, 0, 301]]",0.7902708053588867,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.4322429906542056,0.5331412103746398,0.4774193548387097,428,0.0,0.0,0.0,245,0.7879581151832461,0.3428246013667426,0.4777777777777778,382,0.002295890854177863,0.002603279949317123,0.0025136582873938806,0.002961714134728244
lstm,10,0,focal,none,0.433469387755102,0.34676295558072523,0.2605805921847075,0.004623442435480307,"[[0, 49, 0, 121], [0, 298, 0, 130], [0, 106, 0, 139], [0, 149, 0, 233]]",1.2484123706817627,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.6962616822429907,0.4950166112956811,0.5786407766990291,428,0.0,0.0,0.0,245,0.6099476439790575,0.3739967897271268,0.46368159203980097,382,0.0022719567023240005,0.002801253860476324,0.00234305207365276,0.003068569045510316
lstm,15,0,focal,none,0.38612244897959186,0.29559340398357015,0.22471107953021935,0.005109373181600518,"[[0, 6, 0, 164], [0, 131, 0, 297], [0, 38, 0, 207], [0, 40, 0, 342]]",1.5141561031341553,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.3060747663551402,0.6093023255813953,0.40746500777604977,428,0.0,0.0,0.0,245,0.8952879581151832,0.33861386138613864,0.49137931034482757,382,0.0023210075543948897,0.0029425312508618634,0.0024837644570468247,0.0034730819626086233
lstm,20,0,focal,none,0.42775510204081635,0.3436592269182831,0.25851256127747446,0.004834301871012553,"[[0, 45, 0, 125], [0, 275, 0, 153], [0, 93, 0, 152], [0, 133, 0, 249]]",2.0184130668640137,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.6425233644859814,0.5036630036630036,0.5646817248459959,428,0.0,0.0,0.0,245,0.6518324607329843,0.36671575846833576,0.46936852026390197,382,0.0023175715720951204,0.0028138768892899627,0.002443014946627034,0.0035975415298979737
lstm,25,0,focal,none,0.39755102040816326,0.3097143877501965,0.2349286092014807,0.005260425241938736,"[[0, 4, 0, 166], [0, 149, 0, 279], [0, 46, 0, 199], [0, 44, 0, 338]]",2.0171380043029785,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.34813084112149534,0.6131687242798354,0.44411326378539495,428,0.0,0.0,0.0,245,0.8848167539267016,0.34419551934826886,0.49560117302052786,382,0.002347244163792585,0.0031095506302887847,0.0024329693653987283,0.003647788716239938
lstm,30,0,focal,none,0.44,0.35348495186966744,0.2654048079579994,0.005718694323592793,"[[0, 36, 0, 134], [0, 299, 0, 129], [0, 96, 0, 149], [0, 142, 0, 240]]",3.3092827796936035,192,0.7,0.0002,256,50,0.0,default,focal,2.0,,,none,0.0,0.0,0.0,170,0.6985981308411215,0.5218150087260035,0.5974025974025974,428,0.0,0.0,0.0,245,0.6282722513089005,0.36809815950920244,0.46421663442940037,382,0.002519356200001813,0.0027500994054805994,0.002524809529136047,0.003976040668121409
