model,k,seed,loss,class_weight,acc,f1w,f1m,mi_overall,confusion_matrix,train_time,hp_hidden,hp_dropout,hp_lr,hp_batch_size,hp_epochs,hp_weight_decay,hp_source,hp_loss,hp_focal_gamma,hp_poly_epsilon,hp_label_smoothing,hp_class_weight,ang_recall,ang_precision,ang_f1,ang_support,hap_recall,hap_precision,hap_f1,hap_support,sad_recall,sad_precision,sad_f1,sad_support,neu_recall,neu_precision,neu_f1,neu_support,ang_mi,hap_mi,sad_mi,neu_mi
lstm,0,0,ce,none,0.3763265306122449,0.29769894713235207,0.22543287304800463,0.005213680338188417,"[[0, 37, 0, 133], [0, 180, 0, 248], [0, 73, 0, 172], [0, 101, 0, 281]]",0.9976224899291992,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.4205607476635514,0.46035805626598464,0.43956043956043955,428,0.0,0.0,0.0,245,0.7356020942408377,0.3369304556354916,0.4621710526315789,382,0.0030760430707495335,0.0028222003910492125,0.0027589660726994565,0.0025875918941291242
lstm,5,0,ce,none,0.37714285714285717,0.2844007081877815,0.21658212783000297,0.0042099067473888524,"[[0, 4, 0, 166], [0, 118, 0, 310], [0, 34, 0, 211], [0, 38, 0, 344]]",0.7167148590087891,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.2757009345794392,0.6082474226804123,0.37942122186495175,428,0.0,0.0,0.0,245,0.900523560209424,0.33365664403491757,0.4869072894550602,382,0.002295890854177863,0.002603279949317123,0.0025136582873938806,0.002961714134728244
lstm,10,0,ce,none,0.44816326530612244,0.36140081903408133,0.271478956463787,0.004623442435480307,"[[0, 30, 0, 140], [0, 292, 0, 136], [0, 88, 0, 157], [0, 125, 0, 257]]",1.4106378555297852,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.6822429906542056,0.5457943925233645,0.6064382139148494,428,0.0,0.0,0.0,245,0.6727748691099477,0.372463768115942,0.47947761194029853,382,0.0022719567023240005,0.002801253860476324,0.00234305207365276,0.003068569045510316
lstm,15,0,ce,none,0.42448979591836733,0.3421257310383085,0.25781165211385726,0.005109373181600518,"[[0, 26, 0, 144], [0, 238, 0, 190], [0, 78, 0, 167], [0, 100, 0, 282]]",1.6725010871887207,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.5560747663551402,0.5384615384615384,0.5471264367816092,428,0.0,0.0,0.0,245,0.7382198952879581,0.36015325670498083,0.48412017167381977,382,0.0023210075543948897,0.0029425312508618634,0.0024837644570468247,0.0034730819626086233
lstm,20,0,ce,none,0.3853061224489796,0.29423921228752525,0.22371592899922588,0.004834301871012553,"[[0, 4, 0, 166], [0, 127, 0, 301], [0, 32, 0, 213], [0, 37, 0, 345]]",1.833937168121338,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.2967289719626168,0.635,0.40445859872611467,428,0.0,0.0,0.0,245,0.9031413612565445,0.33658536585365856,0.4904051172707889,382,0.0023175715720951204,0.0028138768892899627,0.002443014946627034,0.0035975415298979737
lstm,25,0,ce,none,0.39755102040816326,0.30924671551415384,0.23462358536985403,0.005260425241938736,"[[0, 4, 0, 166], [0, 148, 0, 280], [0, 47, 0, 198], [0, 43, 0, 339]]",2.1032261848449707,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.34579439252336447,0.6115702479338843,0.4417910447761194,428,0.0,0.0,0.0,245,0.887434554973822,0.34486266531027465,0.4967032967032967,382,0.002347244163792585,0.0031095506302887847,0.0024329693653987283,0.003647788716239938
lstm,30,0,ce,none,0.31265306122448977,0.14997459161842724,0.12009451735479133,0.005718694323592793,"[[0, 0, 0, 170], [0, 1, 0, 427], [0, 0, 0, 245], [0, 0, 0, 382]]",2.2588109970092773,192,0.7,0.0002,256,50,0.0,default,ce,,,,none,0.0,0.0,0.0,170,0.002336448598130841,1.0,0.004662004662004662,428,0.0,0.0,0.0,245,1.0,0.31209150326797386,0.47571606475716066,382,0.002519356200001813,0.0027500994054805994,0.002524809529136047,0.003976040668121409
