lemma,category
joy,joy
joyfulness,joy
joylessness,joylessness
joyousness,joy
jubilance,exultation
jubilancy,exultation
jubilation,exultation
jumpiness,jitteriness
keenness,eagerness
kick,bang
kind-heartedness,kindheartedness
kind_heartedness,kindheartedness
kindheartedness,kindheartedness
languor,neutral-languor
languor,positive-languor
lassitude,neutral-languor
levity,levity
lightheartedness,carefreeness
lightness,elation
lightsomeness,carefreeness
liking,liking
listlessness,neutral-languor
lividity,lividity
loathing,abhorrence
loneliness,forlornness
love,love
lovingness,lovingness
low-spiritedness,downheartedness
low_spiritedness,downheartedness
lowness,downheartedness
loyalty,loyalty
madness,fury
maleficence,maleficence
malevolence,malevolence
malice,malice
maliciousness,malice
malignity,malevolence
meekness,meekness
megrims,blue-devils
melancholy,melancholy
mercifulness,mercifulness
mercilessness,cruelty
mercy,mercifulness
merriment,general-gaiety
mirth,hilarity
mirthfulness,hilarity
misanthropy,misanthropy
misery,misery
misgiving,scruple
misocainea,misocainea
misogamy,misogamy
misogynism,misogyny
misogyny,misogyny
misology,misology
misoneism,misoneism
misopedia,misopedia
mortification,chagrin
mournfulness,mournfulness
murderousness,murderousness
nausea,nausea
nervousness,jitteriness
odium,abhorrence
offence,umbrage
offense,umbrage
oppression,oppression
oppressiveness,oppression
optimism,optimism
outrage,indignation
pall,chill
panic,panic
panic-attack,scare
panic_attack,scare
partiality,fondness
pathos,commiseration
peace,peace
peace-of-mind,peace
peace_of_mind,peace
peacefulness,peace
penance,repentance
penchant,preference
penitence,repentance
pensiveness,pensiveness
perkiness,buoyancy
pessimism,pessimism
philia,affection
phlegm,emotionlessness
pique,pique
pitilessness,cruelty
pity,commiseration
placidity,placidity
placidness,placidity
plaintiveness,plaintiveness
playfulness,levity-gaiety
predilection,preference
preference,preference
premonition,foreboding
presage,presage
presentiment,foreboding
pride,joy-pride
pride,satisfaction-pride
pridefulness,joy-pride
protectiveness,protectiveness
puppy-love,puppy-love
puppy_love,puppy-love
qualm,scruple
quick-temper,irascibility
quick_temper,irascibility
quietness,tranquillity
quietude,tranquillity
quiver,frisson
rage,fury
rancor,resentment
rancour,resentment
regard,regard
regret,regret-sorrow
rejoicing,rejoicing
relaxation,easiness
relish,gusto
remorse,compunction
repentance,repentance
repose,peace
repugnance,repugnance
repulsion,repugnance
resentment,resentment
resignation,resignation
respect,regard
restiveness,jitteriness
restlessness,fidget
reverence,reverence
revulsion,repugnance
rue,regret-sorrow
ruefulness,regret-sorrow
rush,bang
ruth,commiseration
ruthfulness,mournfulness
ruthlessness,cruelty
sadness,sadness
sanguineness,sanguinity
sanguinity,sanguinity
satisfaction,satisfaction
scare,scare
scene,fit
score,grudge
scorn,contempt
scruple,scruple
security,security
self-complacency,complacency
self-consciousness,self-consciousness
self-depreciation,self-depreciation
